country,state,city,Count
"United States",CA,"Los Angeles",811
"United States",CA,"San Francisco",567
"United States",CA,"San Diego",439
"United States",CA,Sacramento,371
"United States",CA,"San Jose",316
"United States",CA,Oakland,265
"United States",CA,Fresno,171
"United States",CA,"Long Beach",136
"United States",CA,Berkeley,130
"United States",CA,"Santa Barbara",129
"United States",CA,Bakersfield,117
"United States",CA,Irvine,106
"United States",CA,Modesto,88
"United States",CA,Riverside,87
"United States",CA,Pasadena,83
"United States",CA,Stockton,82
"United States",CA,"Santa Ana",79
"United States",CA,"Santa Rosa",70
"United States",CA,Salinas,66
"United States",CA,"Santa Cruz",66
"United States",CA,Anaheim,63
"United States",CA,"Palo Alto",63
"United States",CA,"Santa Monica",63
"United States",CA,"Newport Beach",59
"United States",CA,Monterey,56
"United States",CA,"San Rafael",55
"United States",CA,Ventura,53
"United States",CA,Torrance,50
"United States",CA,"La Jolla",49
"United States",CA,Orange,49
"United States",CA,"Santa Clara",49
"United States",CA,"Beverly Hills",48
"United States",CA,Merced,47
"United States",CA,"Walnut Creek",46
"United States",CA,Fremont,45
"United States",CA,Glendale,44
"United States",CA,Hayward,43
"United States",CA,Roseville,43
"United States",CA,"Costa Mesa",42
"United States",CA,Fullerton,42
"United States",CA,Lancaster,41
"United States",CA,"Palm Springs",41
"United States",CA,"San Bernardino",41
"United States",CA,Temecula,41
"United States",CA,Visalia,40
"United States",CA,Carson,39
"United States",CA,Chico,39
"United States",CA,Oceanside,39
"United States",CA,"Santa Maria",39
"United States",CA,"El Cajon",38
"United States",CA,"Mountain View",38
"United States",CA,Napa,38
"United States",CA,Ontario,38
"United States",CA,Richmond,38
"United States",CA,"Chula Vista",37
"United States",CA,Burbank,36
"United States",CA,"Moreno Valley",36
"United States",CA,Carlsbad,35
"United States",CA,Concord,35
"United States",CA,Hemet,35
"United States",CA,Oxnard,35
"United States",CA,"Rancho Cucamonga",35
"United States",CA,Davis,34
"United States",CA,"Redwood City",34
"United States",CA,Vallejo,34
"United States",CA,"Los Altos",33
"United States",CA,Redding,33
"United States",CA,"San Luis Obispo",33
"United States",CA,Alameda,32
"United States",CA,Eureka,32
"United States",CA,"Garden Grove",32
"United States",CA,Pomona,32
