"name.keyword: Descending",Count
"THRIVENT FINANCIAL FOR LUTHERANS",4719
"INDEPENDENT ORDER OF ODD FELLOWS",1074
"WOMENS INTERNATIONAL BOWLING CONGRESS INC",854
"TOASTMASTERS INTERNATIONAL",738
"AMERICAN BOWLING CONGRESS INC",726
"INTERNATIONAL ASSOCIATION OF LIONS CLUBS",676
"AID ASSOCIATION FOR LUTHERANS",660
"AMATEUR ATHLETIC UNION OF THE UNITED STATES",587
"AMERICAN LEGION",555
"DEMOLAY INTERNATIONAL",467
"KIWANIS INTERNATIONAL",464
"MOMS CLUB",433
"PTA California Congress of Parents Teachers & Students, Inc.",428
"WOMENS AGLOW FELLOWSHIP",399
"AMERICAN LEGION AUXILIARY",384
"AMERICAN ASSOCIATION OF RETIRED PERSONS",347
"BNAI BRITH YOUTH ORGANIZATION",342
"LITTLE LEAGUE BASEBALL INC",330
"PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",290
"Little League Baseball, Inc.",279
"KNIGHTS TEMPLAR OF THE UNITED STATES OF AMERICA",269
"OPTIMIST INTERNATIONAL",230
"WOODMEN OF THE WORLD OMAHA WOODMEN LIFE INSURANCE SOCIETY",229
"AMERICAN VETERANS OF WORLD WAR II KOREA AND VIETNAM",224
"UNITED MINE WORKERS OF AMERICA INTERNATIONAL",221
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES",212
"WOMENS INTERNATIONAL BOWLING CONGRESS",209
"UNITED STATES JUNIOR CHAMBER OF COMMERCE",208
"POP WARNER LITTLE SCHOLARS INC",194
"DISABLED AMERICAN VETERANS",190
"LEAGUE OF UNITED LATIN AMERICAN CITIZENS",185
"INTERNATIONAL ORDER OF THE RAINBOW GIRLS",160
"IMPROVED BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE WORLD",155
"PTA PENNSYLVANIA CONGRESS",147
"PTA Texas Congress",146
"YOUNG AMERICAN BOWLING ALLIANCE INC",140
"AMERICAN BOWLING CONGRESS",135
"JEWISH WOMEN INTERNATIONAL",127
"CIVITAN INTERNATIONAL",120
"UNITED FEDERATION OF DOLL CLUBS INC",120
"AMERICAN ASSOCIATION OF UNIVERSITY WOMEN",116
"FRATERNAL ORDER OF POLICE",111
"ROTARY INTERNATIONAL",111
"PTA TEXAS CONGRESS",108
"KNIGHTS OF COLUMBUS",103
"ANCIENT ARABIC ORDER OF THE NOBLES OF THE MYSTIC SHRINE OF NA",100
"MISSIONARY CHURCH INTERNATIONAL INCORPORATED",97
"UNITED STEELWORKERS OF AMERICA",97
"NATIONAL ASSOCIATION OF LETTER CARRIERS",93
"CBMC INC",91
"COMMUNICATION WORKERS OF AMERICA",91
"FRATERNAL ORDER OF EAGLES",90
"NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION",89
