country,state,Count
"United States",CA,11820
"United States",TX,7680
"United States",NY,6983
"United States",IL,6423
"United States",FL,6256
"United States",PA,6138
"United States",OH,6037
"United States",MI,4019
"United States",MO,3619
"United States",VA,3461
"United States",MA,3437
"United States",WA,2976
"United States",NC,2918
"United States",IN,2909
"United States",NJ,2833
"United States",MD,2569
"United States",CO,2544
"United States",OR,2413
"United States",DC,2337
"United States",WI,2330
"United States",MN,2164
"United States",AZ,2021
"United States",IA,1831
"United States",TN,1819
"United States",OK,1808
"United States",KS,1684
"United States",KY,1637
"United States",AL,1530
"United States",GA,1513
"United States",SC,1342
"United States",NE,1290
"United States",LA,1285
"United States",CT,1222
"United States",WV,933
"United States",NM,914
"United States",UT,910
"United States",MT,905
"United States",ME,904
"United States",MS,879
"United States",AR,878
"United States",NH,790
"United States",ID,767
"United States",NV,762
"United States",SD,644
"United States",ND,588
"United States",VT,574
"United States",AK,529
"United States",WY,425
"United States",RI,392
"United States",DE,388
"United States",HI,388
"United States",PR,2
"United States",GE,1
"United States",ZH,1
"United Kingdom",England,69
"United Kingdom",FL,5
"United Kingdom",NE,2
"United Kingdom",Scotland,2
"United Kingdom",DC,1
"United Kingdom",NC,1
"United Kingdom",TX,1
"United Kingdom",Vienna,1
"United Kingdom",Wales,1
India,DL,24
India,WB,11
India,MH,7
India,BR,4
India,KA,4
India,TN,3
India,Telangana,3
India,FL,2
India,JH,2
India,KL,2
India,OD,2
India,RJ,2
India,UP,2
India,AA,1
India,AE,1
India,GJ,1
India,HR,1
India,MN,1
India,MP,1
India,PB,1
Canada,Ontario,33
Canada,BC,11
Canada,"British Columbia",10
Canada,ON,9
Canada,"Québec",5
Canada,Manitoba,3
Canada,QC,3
Canada,AB,2
Canada,CA,2
Canada,"Nova Scotia",2
Canada,DE,1
Canada,NS,1
Canada,"New Brunswick",1
Canada,OH,1
Canada,"Prince Edward Island",1
Canada,WA,1
Nigeria,Lagos,20
Nigeria,FCT,16
Nigeria,Edo,4
Nigeria,"Akwa Ibom",2
Nigeria,Anambra,2
Nigeria,Ebonyi,2
Nigeria,Rivers,2
Nigeria,Abia,1
Nigeria,Bauchi,1
Nigeria,Delta,1
Nigeria,Enugu,1
Nigeria,Imo,1
Nigeria,Kaduna,1
Nigeria,"Ogun State",1
Nigeria,Ondo,1
Nigeria,Osun,1
Nigeria,Oyo,1
Pakistan,Punjab,12
Pakistan,"Islamabad Capital Territory",8
Pakistan,"N.W.F.P",4
Pakistan,Sindh,4
Pakistan,Balochistan,1
Pakistan,IN,1
"South Africa",WC,12
"South Africa",GP,11
"South Africa",DC,4
"South Africa",NE,3
"South Africa",IN,2
"South Africa",KZN,2
"South Africa",MP,2
"South Africa",MT,2
"South Africa",NC,2
"South Africa",AZ,1
"South Africa",CA,1
"South Africa",EC,1
"South Africa",GA,1
"South Africa",MI,1
"South Africa",NJ,1
"South Africa","Nairobi County",1
"South Africa",OK,1
"South Africa","South-East District",1
Switzerland,GE,19
Switzerland,VD,4
Switzerland,ZH,4
Switzerland,BE,1
Switzerland,BS,1
Switzerland,VS,1
Switzerland,Vaud,1
Brazil,SP,12
Brazil,RJ,6
Brazil,AP,3
Brazil,MG,3
Brazil,RS,2
Brazil,BA,1
Brazil,CA,1
Brazil,CE,1
Brazil,PA,1
Brazil,PR,1
Germany,Berlin,9
Germany,NRW,6
Germany,HE,4
Germany,BY,3
Germany,"Nordrhein-Westfalen",3
Germany,AE,2
Germany,BW,2
Germany,"Baden-Württemberg",2
Germany,AL,1
Germany,Bayern,1
Germany,HH,1
Germany,NDS,1
Germany,RP,1
Italy,Lazio,16
Italy,Lombardia,2
Italy,Piemonte,2
Italy,Sicily,2
Italy,Veneto,2
Italy,Abruzzo,1
